MA_ID;caseID;system;Phylum;resp.categ;resp.scale;resp.subset;res.unit;log10cellsize;newresp;resptype
MS001;MS001_1;M;Chlorophyta;C fixation;absolute;C half saturation;micromolCO2_per_L;2.060813116;0.179760399;log
MS001;MS001_1;M;Chlorophyta;C fixation;absolute;C half saturation;micromolCO2_per_L;2.185243609;0.168110714;log
MS001;MS001_1;M;Chlorophyta;C fixation;absolute;C half saturation;micromolCO2_per_L;2.281802382;0.156650218;log
MS001;MS001_1;M;Chlorophyta;C fixation;absolute;C half saturation;micromolCO2_per_L;2.383277952;0.150306818;log
MS001;MS001_1;M;Chlorophyta;C fixation;absolute;C half saturation;micromolCO2_per_L;2.804330481;0.125691132;log
MS001;MS001_1;M;Chlorophyta;C fixation;absolute;C half saturation;micromolCO2_per_L;2.893751014;0.094431736;log
MS001;MS001_2;M;Chlorophyta;C fixation;absolute;C fixation rate;LN_pgC_per_hr;2.059846042;0.863582496;log
MS001;MS001_2;M;Chlorophyta;C fixation;absolute;C fixation rate;LN_pgC_per_hr;2.182357117;0.838582497;log
MS001;MS001_2;M;Chlorophyta;C fixation;absolute;C fixation rate;LN_pgC_per_hr;2.28111214;1.126082497;log
MS001;MS001_2;M;Chlorophyta;C fixation;absolute;C fixation rate;LN_pgC_per_hr;2.385559049;1.182332496;log
MS001;MS001_2;M;Chlorophyta;C fixation;absolute;C fixation rate;LN_pgC_per_hr;2.80537153;1.613582497;log
MS001;MS001_2;M;Chlorophyta;C fixation;absolute;C fixation rate;LN_pgC_per_hr;2.896888133;1.738582496;log
MS001;MS001_3;M;Chlorophyta;C fixation;absolute;C affinity per Cavail;LN_pgC_per_pgC;2.064256058;-0.692803188;log
MS001;MS001_3;M;Chlorophyta;C fixation;absolute;C affinity per Cavail;LN_pgC_per_pgC;2.186258095;-0.712922208;log
MS001;MS001_3;M;Chlorophyta;C fixation;absolute;C affinity per Cavail;LN_pgC_per_pgC;2.28792646;-0.4111369;log
MS001;MS001_3;M;Chlorophyta;C fixation;absolute;C affinity per Cavail;LN_pgC_per_pgC;2.394678242;-0.337367158;log
MS001;MS001_3;M;Chlorophyta;C fixation;absolute;C affinity per Cavail;LN_pgC_per_pgC;2.814060245;0.118663975;log
MS001;MS001_3;M;Chlorophyta;C fixation;absolute;C affinity per Cavail;LN_pgC_per_pgC;2.903020064;0.266203458;log
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.790494704;1.246901211;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.792097726;0.981395543;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.806244611;0.88094247;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.816791267;1.033410472;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.825007848;1.04315974;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.816992739;1.151249333;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.827390481;1.246901211;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.836999852;0.885088152;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.851286892;0.856472986;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.8636906;0.906111048;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.876032991;0.927633287;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;1.866187109;1.151249333;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.012719057;1.966133848;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.013148282;2.474703008;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.031701286;2.618127804;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.049991501;2.40596446;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.062290093;2.40596446;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.068605823;2.630448616;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.085074024;2.73112552;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.10743749;2.474703008;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.453830325;2.451574677;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.529417614;2.139511942;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.53529536;1.849721495;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.593266931;2.521616311;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.632720535;3.310852467;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.63836177;2.521616311;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.638396809;2.569418957;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.654646017;2.372314529;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.705811315;2.274162276;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.738738957;2.440091696;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.764895365;1.875958742;untransformed
MS001;MS001_7;M;Chlorophyta;growth;absolute;growth rate;per_day;2.788292474;2.95804186;untransformed
MS003;MS003_1;F;Cyanobacteria;C fixation;absolute;C fixation rate;LN_pgC_per_hr;-0.152304609;-1.784341564;log
