Paper;Authors;Year;Citation;Included;System;Type;Level;Driver/Response;Aim;Part of meta-analysis
1;"Yan, P; Guo, JS; Zhang, P; Xiao, Y; Li, Z; Zhang, SQ; Zhang, YX; He, SX";2021;SCIENCE OF THE TOTAL ENVIRONMENT 754: 142076;1;F;E;MS;R;2;no
2;"Ryabov, A; Kerimoglu, O; Litchman, E; Olenina, I; Roselli, L; Basset, A; Stanca, E; Blasius, B";2021;ECOLOGY LETTERS 24: 847-861;1;M;O;C;D;4;no
3;"Liu, BQ; D'Sa, EJ; Maiti, K; Rivera-Monroy, VH; Xue, Z";2021;REMOTE SENSING OF ENVIRONMENT 252: 112154;0;;;;;;
4;"Laiolo, L; Matear, R; Soja-Woiniak, M; Suggett, DJ; Hughes, DJ; Baird, ME; Doblin, MA";2021;JOURNAL OF MARINE SYSTEMS 213: 103460;1;M;M;C;D;4;no
5;"Decembrini, F; Caroppo, C; Bergamasco, A";2020;CONTINENTAL SHELF RESEARCH 209: 104216;0;;;;;;
6;"Malerba, ME; Marshall, DJ; Palacios, MM; Raven, JA; Beardall, J";2020;NEW PHYTOLOGIST 221: 2647-2659;1;M;E;SS;D;1;MS001
7;"Thompson, HF; Summers, S; Yuecel, R; Gutierrez, T";2020;MICROORGANISMS 8: 1955;0;;;;;;
8;"Chen, M; Fan, M; Wang, X";2020;JOURNAL OF APPLIED ANALYSIS AND COMPUTATION 10: 2644-2658;1;none;M;SS;R;2;no
9;"Meler, J; Wozniak, SB; Ston-Egiert, J";2020;JOURNAL OF MARINE SYSTEMS 212: 103446;0;;;;;;
10;"Certnerova, D; Skaloud, P";2020;ANNALS OF BOTANY 126: 1077-1087;0;;;;;;
11;"Soja-Wozniak, M; Laiolo, L; Baird, ME; Matear, R; Clementson, L; Schroeder, T; Doblin, MA; Suthers, IM";2020;JOURNAL OF MARINE SYSTEMS 211: 103400;0;;;;;;
12;"Malerba, ME; Ghedini, G; Marshall, DJ";2020;CURRENT BIOLOGY 30: 3450-3452;0;;;;;;
13;Ignatiades, L;2020;MARINE BIODIVERSITY 50: 58;1;M;O;C;D;4;MS033
14;"Corredor-Acosta, A; Morales, CE; Rodriguez-Santana, A; Anabalon, V; Valencia, LP; Hormazabal, S";2020;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS 125: e2019JC015539;0;;;;;;
15;"Menden-Deuer, S; Morison, F; Montalbano, AL; Franze, G; Strock, J; Rubin, E; McNair, H; Mouw, C; Marrec, P";2020;FRONTIERS IN MARINE SCIENCE 7: 254;0;;;;;;
16;"Waga, H; Hirawake, T";2020;FRONTIERS IN MARINE SCIENCE 7: 209;0;;;;;;
17;"Zohary, T; Flaim, G; Sommer, U";2021;HYDROBIOLOGIA 848: 143-155;1;F;R;C;R;2;no
18;"Montes-Perez, JJ; Moreno-Ostos, E; Maranon, E; Blanco, JM; Rodriguez, V; Rodriguez, J";2020;HYDROBIOLOGIA 847: 2241-2254;1;F;O;C;D;4;MS002
19;"Zhao, QY; Liu, ST; Niu, XL";2020;MATHEMATICAL METHODS IN THE APPLIED SCIENCES 43: 3886-3902;1;none;M;C;D;3;no
20;"Cotti-Rausch, BE; Lomas, MW; Lachenmyer, EM; Baumann, EG; Richardson, TL";2020;DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS 156: 103141;0;;;;;;
21;"Pomati, F; Shurin, JB; Andersen, KH; Tellenbach, C; Barton, AD";2020;FRONTIERS IN MICROBIOLOGY 10: 3155;1;F;O;C;R;3;no
22;Kocum, E;2020;REGIONAL STUDIES IN MARINE SCIENCE 33: 100920;0;;;;;;
23;"Branco, P; Egas, M; Hall, SR; Huisman, J";2020;AMERICAN NATURALIST 195: E20-E37;1;none;M;C;R;3;MS008
24;"Sun, XR; Shen, F; Brewin, RJW; Liu, DY; Tang, RG";2019;JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS 124: 8887-8912;0;;;;;;
25;"Abonyi, A; Kiss, KT; Hidas, A; Borics, G; Varbiro, G; Acs, E";2020;ECOSYSTEMS 23: 1254-1264;1;F;O;C;R;2;no
26;"Gittings, JA; Brewin, RJW; Raitsos, DE; Kheireddine, M; Ouhssain, M; Jones, BH; Hoteit, I";2019;REMOTE SENSING OF ENVIRONMENT 234: 111387;0;;;;;;
27;"Liao, TC; Yu, HG; Dai, CJ; Zhao, M";2019;COMPLEXITY 2019: 8205696;1;none;M;C;R;2;no
28;"Waga, H; Hirawake, T; Ueno, H";2019;GEOPHYSICAL RESEARCH LETTERS 46: 13191-13198;1;M;M;C;R;2;no
29;"Biggs, TEG; Alvarez-Fernandez, S; Evans, C; Mojica, KDA; Rozema, PD; Venables, HJ; Pond, DW; Brussaard, CPD";2019;POLAR BIOLOGY 42: 1997-2015;0;;;;;;
